Pin Designator,Pin Package Length
A1,0.000000mil
A2,344.423031mil
A3,0.000000mil
A4,313.777913mil
A5,290.851142mil
A6,0.000000mil
A7,310.879449mil
A8,278.667165mil
A9,278.131339mil
A10,0.000000mil
A11,256.285118mil
A12,278.298543mil
A13,285.085787mil
A14,0.000000mil
A15,264.987441mil
A16,285.481614mil
A17,277.315787mil
A18,0.000000mil
A19,250.883386mil
A20,263.448937mil
A21,263.450945mil
A22,294.869606mil
A23,282.308189mil
A24,274.994921mil
A25,305.020236mil
A26,335.250433mil
A27,320.416417mil
A28,0.000000mil
B1,338.778740mil
B2,316.411142mil
B3,312.782756mil
B4,322.397992mil
B5,0.000000mil
B6,276.810984mil
B7,281.651496mil
B8,249.648583mil
B9,0.000000mil
B10,239.168780mil
B11,242.832402mil
B12,0.000000mil
B13,264.395591mil
B14,258.976890mil
B15,268.352953mil
B16,0.000000mil
B17,255.546535mil
B18,273.541811mil
B19,226.933071mil
B20,230.948071mil
B21,244.778228mil
B22,266.116417mil
B23,0.000000mil
B24,302.753307mil
B25,302.105906mil
B26,0.000000mil
B27,0.000000mil
B28,341.798425mil
C1,325.808937mil
C2,304.417323mil
C3,0.000000mil
C4,277.716102mil
C5,244.325354mil
C6,0.000000mil
C7,0.000000mil
C8,0.000000mil
C9,0.000000mil
C10,0.000000mil
C11,0.000000mil
C12,0.000000mil
C13,0.000000mil
C14,0.000000mil
C15,0.000000mil
C16,0.000000mil
C17,0.000000mil
C18,0.000000mil
C19,0.000000mil
C20,222.895866mil
C21,222.157677mil
C22,0.000000mil
C23,267.747362mil
C24,249.030197mil
C25,0.000000mil
C26,0.000000mil
C27,312.317717mil
C28,299.119134mil
D1,303.578740mil
D2,0.000000mil
D3,0.000000mil
D4,0.000000mil
D5,232.080118mil
D6,218.384567mil
D7,0.000000mil
D8,223.566535mil
D9,194.102913mil
D10,0.000000mil
D11,0.000000mil
D12,182.099528mil
D13,0.000000mil
D14,175.839606mil
D15,176.675748mil
D16,0.000000mil
D17,194.360551mil
D18,177.561732mil
D19,0.000000mil
D20,204.529606mil
D21,200.004213mil
D22,0.000000mil
D23,225.317244mil
D24,0.000000mil
D25,0.000000mil
D26,248.117402mil
D27,257.339016mil
D28,0.000000mil
E1,278.405669mil
E2,253.626969mil
E3,0.000000mil
E4,217.537835mil
E5,0.000000mil
E6,208.134134mil
E7,0.000000mil
E8,181.090630mil
E9,138.748071mil
E10,0.000000mil
E11,152.867402mil
E12,156.154646mil
E13,0.000000mil
E14,154.555000mil
E15,168.533465mil
E16,0.000000mil
E17,176.519646mil
E18,128.757205mil
E19,0.000000mil
E20,191.587441mil
E21,170.329449mil
E22,179.100630mil
E23,0.000000mil
E24,0.000000mil
E25,220.160276mil
E26,234.288661mil
E27,254.439646mil
E28,274.889685mil
F1,0.000000mil
F2,258.329646mil
F3,0.000000mil
F4,250.620512mil
F5,215.833622mil
F6,0.000000mil
F7,144.484803mil
F8,153.633346mil
F9,0.000000mil
F10,0.000000mil
F11,123.929252mil
F12,0.000000mil
F13,0.000000mil
F14,0.000000mil
F15,0.000000mil
F16,0.000000mil
F17,0.000000mil
F18,99.089921mil
F19,0.000000mil
F20,163.071693mil
F21,0.000000mil
F22,0.000000mil
F23,0.000000mil
F24,171.287559mil
F25,195.925433mil
F26,211.901220mil
F27,290.807047mil
F28,249.101417mil
G1,269.297520mil
G2,279.089055mil
G3,0.000000mil
G4,0.000000mil
G5,0.000000mil
G6,0.000000mil
G7,0.000000mil
G8,0.000000mil
G9,0.000000mil
G10,0.000000mil
G11,0.000000mil
G12,0.000000mil
G13,0.000000mil
G14,0.000000mil
G15,0.000000mil
G16,0.000000mil
